,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3,score_quality,score_difficulty,score_fit,score_missing_pieces,theme,art_style
0,0,0,0,0,0,0,0,0,0,1,Buffalo Games - Signature Collection - Cinque Terre - 1000 Piece Jigsaw Puzzle,920,13.95,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91a7hQZChOL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',3.6,https://amazon.com/Buffalo-Games-Signature-Collection-Cinque/dp/B00ITTI3VW,-0.2328982180293499,159.0,0.2618427497371188,317.0,0.10054666666666666,307.0,0.4594993645833333,320.0,0.7297496822916666,0.6309213748685594,0.5502733333333333,0.3835508909853251,landscape,photo
1,1,1,1,1,1,1,1,1,1,2,Buffalo Games - Darrell Bush - Canoe Lake - 1000 Piece Jigsaw Puzzle,304,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81kOeE9slpL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',3.9,https://amazon.com/Buffalo-Games-Darrell-Jigsaw-Puzzle/dp/B00WOZBOGS,-0.3646598870056495,59.0,0.3480671296296296,72.0,0.33416863095238103,56.0,0.5719652263374484,81.0,0.7859826131687242,0.6740335648148148,0.6670843154761905,0.3176700564971753,landscape,photo
2,2,2,2,2,2,2,2,2,2,3,Buffalo Games - Marine Color - Tiny Bubbles - 1000 Piece Jigsaw Puzzle,91,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91ZJkVJqtaL._SL1500_.jpg,'Contains 1000 pieces. Finished size is 26.75 x 19.75 inches. Manufactured from premium quality materials. Made in the United States. Bonus poster included for help in solving',4.0,https://amazon.com/Buffalo-Games-Marine-Bubbles-Jigsaw/dp/B07D8JKDRN,-0.17707368421052627,19.0,0.2767683333333334,30.0,0.3145326666666667,15.0,0.5636197916666664,32.0,0.7818098958333333,0.6383841666666668,0.6572663333333333,0.4114631578947369,animals,hand
3,3,3,4,4,4,4,4,4,4,5,Buffalo Games - Aimee Stewart - The Family Campsite - 1000 Piece Jigsaw Puzzle,131,12.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91D0%2BPk7XxL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Stewart-Family-Campsite/dp/B078N25RKC,-0.16761777777777775,18.0,0.33251400000000003,25.0,0.17183388888888892,30.0,0.5936045238095239,35.0,0.7968022619047619,0.666257,0.5859169444444444,0.4161911111111111,towns_and_cities,hand
4,4,4,5,5,5,5,5,5,5,6,Buffalo Games - Darrell Bush - Moonlight Lodge - 1000 Piece Jigsaw Puzzle,86,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81sNl37XzmL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Darrell-Moonlight-Jigsaw/dp/B073YF5PTT,-0.3160333333333333,6.0,0.18146811594202905,23.0,0.5361687500000001,16.0,0.566437984496124,43.0,0.783218992248062,0.5907340579710145,0.768084375,0.3419833333333333,landscape,photo
5,5,5,6,6,6,6,6,6,6,7,Space Puzzle 1000 Piece Jigsaw Puzzle Kids Adult – Planets in Space Jigsaw Puzzle,82,16.99,CHAFIN,https://images-na.ssl-images-amazon.com/images/I/711o9YxjdDL._SL1000_.jpg,"'Contains 1000 pieces puzzle and a poster. Finished size: 27.56"" x 19.69""/70*50cm Entertainment. In case you are looking to supercharge your brain with some good mental games then here is a great game to help you do it Be made of high quality material, non-toxic. Recommend for children age of 8 and up. Put together jigsaw puzzles. Jigsaw puzzles quiet the mind and induce a state of creative meditation. They tap into our creativity and rewire our brains to make ""connections"" The most valuable parent-child game. Intellectual game for adults and kids. Good choice for Birthday and Christmas gifts. Missing support: If you find yourself missing a piece in the puzzle, please contact us and I will reissue the missing block.'",4.5,https://amazon.com/Space-Puzzle-Piece-Jigsaw-Adult/dp/B07KPHF9GM,-0.1834727272727273,11.0,0.4656409090909092,22.0,0.4001447368421053,19.0,0.6001242424242422,33.0,0.8000621212121211,0.7328204545454546,0.7000723684210527,0.4082636363636364,licensed,hand
6,6,6,7,7,7,7,7,7,8,9,Buffalo Games - Vivid Collection - Hummingbird Garden - 1000 Piece Jigsaw Puzzle,307,13.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91ra5NIZJ%2BL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 in. X 19.75 in. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Collection-Hummingbird-Garden/dp/B01I95LQDM,-0.2703688405797101,46.0,0.3723295634920635,84.0,0.30087891304347825,69.0,0.5632000000000005,129.0,0.7816000000000003,0.6861647817460317,0.6504394565217391,0.364815579710145,animals,hand
7,7,7,8,8,8,8,8,8,9,10,White Mountain Puzzles The Movies - 1000 Piece Jigsaw Puzzle,60,13.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/91%2Btw-1tDhL._SL1200_.jpg,"'ICONIC MOVIE STARS: A new puzzle filled with movie stars and iconic memorabilia of your favorite films. Makes a great gift for movie goers and puzzle enthusiasts, and a fantastic framed work 1000-PIECE PUZZLE: Thrill the entire family and provide hours of fun and entertainment piecing this incredible jigsaw puzzle together. An ideal pastime for everyone to enjoy!. ABOUT THE ARTIST: Working out of his home studio for almost 20 years, James Mellett is a freelance illustrator. Mellet is known, awarded, and recognized for his astounding sports art MORE TO PUZZLE BUILDING: Art jigsaw puzzles are a fun, inexpensive way to enjoy works of art first hand. Use to boost valuable motor skills, hand-eye coordination, and problem solving skills SPECIFICS: Includes 1,000 extra large puzzle pieces made of sturdy blue chipboard on recycled paper. Completed puzzle dimensions: 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.5,https://amazon.com/White-Mountain-Puzzles-Movies-Jigsaw/dp/B076XD1F5X,-0.000833333333333334,3.0,0.4702874999999999,8.0,0.20715000000000008,6.0,0.442675,10.0,0.7213375,0.73514375,0.603575,0.4995833333333333,licensed,collage
8,8,8,9,9,9,9,9,9,11,12,Buffalo Games - Chuck Pinson - Cottage By The Sea - 1000 Piece Jigsaw Puzzle,47,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91p-wyQlmNL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.1,https://amazon.com/Buffalo-Games-Pinson-Cottage-Jigsaw/dp/B07BV3MFTQ,-0.35640000000000005,5.0,0.3628687500000001,16.0,0.19095555555555555,9.0,0.5586666666666668,12.0,0.7793333333333334,0.681434375,0.5954777777777778,0.3218,landscape,photo
9,9,9,10,10,10,10,10,10,12,13,Buffalo Games - Darrell Bush - Coastal Twilight - 1000 Piece Jigsaw Puzzle,118,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/918Sb1CWtTL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 in. X 19.75 in Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.2,https://amazon.com/Buffalo-Games-Darrell-Coastal-Twilight/dp/B01LYK8432,-0.21146176470588232,17.0,0.4480909090909092,33.0,0.12442599999999998,25.0,0.5387181818181818,33.0,0.7693590909090908,0.7240454545454545,0.562213,0.3942691176470589,landscape,photo
