,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3
0,1,Buffalo Games - Signature Collection - Cinque Terre - 1000 Piece Jigsaw Puzzle,920,13.95,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91a7hQZChOL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',3.6,https://amazon.com/Buffalo-Games-Signature-Collection-Cinque/dp/B00ITTI3VW,-0.23289821802934987,159.0,0.2618427497371188,317.0,0.10054666666666666,307.0,0.45949936458333324,320.0
1,2,Buffalo Games - Darrell Bush - Canoe Lake - 1000 Piece Jigsaw Puzzle,304,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81kOeE9slpL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',3.9,https://amazon.com/Buffalo-Games-Darrell-Jigsaw-Puzzle/dp/B00WOZBOGS,-0.3646598870056495,59.0,0.3480671296296296,72.0,0.334168630952381,56.0,0.5719652263374484,81.0
2,3,Buffalo Games - Marine Color - Tiny Bubbles - 1000 Piece Jigsaw Puzzle,91,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91ZJkVJqtaL._SL1500_.jpg,'Contains 1000 pieces. Finished size is 26.75 x 19.75 inches. Manufactured from premium quality materials. Made in the United States. Bonus poster included for help in solving',4.0,https://amazon.com/Buffalo-Games-Marine-Bubbles-Jigsaw/dp/B07D8JKDRN,-0.17707368421052627,19.0,0.2767683333333334,30.0,0.3145326666666667,15.0,0.5636197916666664,32.0
3,4,Ravensburger Sort and Go Jigsaw Puzzle Accessory - Sturdy and Easy to Use Plastic Puzzle Shaped Sorting Trays for Puzzles Up to 1000 Pieces,863,10.74,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/91oNyyLfxCL._SL1500_.jpg,"'What you get - The Sort and Go puzzle accessory includes 6 stackable sorting trays and is great for jigsaw puzzles up to 1000 pieces and makes a great gift for puzzle lovers of all ages. Each tray measures 7.5"" x 6.5"" x 0.75"" Easy sorting of puzzle pieces - Separate puzzle pieces by color, pattern or shape into the 6 sturdy sorting trays for quick, easy access Link them - Link the trays of this puzzle organizer or move them around the table from one person to another Stack and store them - This uniquely engineered stacking system with indented ridges provides a perfect solution for compact organization, and the trays nest perfectly in the box for secure storage and transportation.', ""Easily Expandable - If you get another set for puzzles with higher piece counts than 1000 it's easy to combine them!""",4.7,https://amazon.com/Ravensburger-Sort-Jigsaw-Puzzle-Accessory/dp/B00ANKD7V6,-0.006415384615384622,13.0,0.4336578776041666,128.0,0.39799049566088085,214.0,0.53098606557377,122.0
4,5,Buffalo Games - Aimee Stewart - The Family Campsite - 1000 Piece Jigsaw Puzzle,131,12.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91D0%2BPk7XxL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Stewart-Family-Campsite/dp/B078N25RKC,-0.16761777777777775,18.0,0.33251400000000003,25.0,0.17183388888888892,30.0,0.5936045238095239,35.0
5,6,Buffalo Games - Darrell Bush - Moonlight Lodge - 1000 Piece Jigsaw Puzzle,86,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81sNl37XzmL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Darrell-Moonlight-Jigsaw/dp/B073YF5PTT,-0.31603333333333333,6.0,0.18146811594202902,23.0,0.5361687500000001,16.0,0.566437984496124,43.0
6,7,Space Puzzle 1000 Piece Jigsaw Puzzle Kids Adult – Planets in Space Jigsaw Puzzle,82,16.99,CHAFIN,https://images-na.ssl-images-amazon.com/images/I/711o9YxjdDL._SL1000_.jpg,"'Contains 1000 pieces puzzle and a poster. Finished size: 27.56"" x 19.69""/70*50cm Entertainment. In case you are looking to supercharge your brain with some good mental games then here is a great game to help you do it Be made of high quality material, non-toxic. Recommend for children age of 8 and up. Put together jigsaw puzzles. Jigsaw puzzles quiet the mind and induce a state of creative meditation. They tap into our creativity and rewire our brains to make ""connections"" The most valuable parent-child game. Intellectual game for adults and kids. Good choice for Birthday and Christmas gifts. Missing support: If you find yourself missing a piece in the puzzle, please contact us and I will reissue the missing block.'",4.5,https://amazon.com/Space-Puzzle-Piece-Jigsaw-Adult/dp/B07KPHF9GM,-0.18347272727272726,11.0,0.46564090909090916,22.0,0.40014473684210533,19.0,0.6001242424242422,33.0
7,8,Buffalo Games - Chuck Pinson - Island Time - 1000 Piece Jigsaw Puzzle,12,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81FsTaNrodL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.3,https://amazon.com/Buffalo-Games-Pinson-Island-Jigsaw/dp/B07Q7LTSY3,,0.0,0.5367333333333334,3.0,0.4262875,4.0,0.5892333333333334,3.0
8,9,Buffalo Games - Vivid Collection - Hummingbird Garden - 1000 Piece Jigsaw Puzzle,307,13.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91ra5NIZJ%2BL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 in. X 19.75 in. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Collection-Hummingbird-Garden/dp/B01I95LQDM,-0.27036884057971006,46.0,0.3723295634920635,84.0,0.30087891304347825,69.0,0.5632000000000005,129.0
9,10,White Mountain Puzzles The Movies - 1000 Piece Jigsaw Puzzle,60,13.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/91%2Btw-1tDhL._SL1200_.jpg,"'ICONIC MOVIE STARS: A new puzzle filled with movie stars and iconic memorabilia of your favorite films. Makes a great gift for movie goers and puzzle enthusiasts, and a fantastic framed work 1000-PIECE PUZZLE: Thrill the entire family and provide hours of fun and entertainment piecing this incredible jigsaw puzzle together. An ideal pastime for everyone to enjoy!. ABOUT THE ARTIST: Working out of his home studio for almost 20 years, James Mellett is a freelance illustrator. Mellet is known, awarded, and recognized for his astounding sports art MORE TO PUZZLE BUILDING: Art jigsaw puzzles are a fun, inexpensive way to enjoy works of art first hand. Use to boost valuable motor skills, hand-eye coordination, and problem solving skills SPECIFICS: Includes 1,000 extra large puzzle pieces made of sturdy blue chipboard on recycled paper. Completed puzzle dimensions: 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.5,https://amazon.com/White-Mountain-Puzzles-Movies-Jigsaw/dp/B076XD1F5X,-0.000833333333333334,3.0,0.4702874999999999,8.0,0.20715000000000003,6.0,0.44267500000000004,10.0
